cve_entidad,desc_entidad,cve_municipio,desc_municipio,id_indicador,indicador,año,valor,unidad_medida
19,Nuevo León,004,Allende,6207048973,Vehículos de motor registrados en circulación,2002,11599,No especificada
19,Nuevo León,004,Allende,6207048973,Vehículos de motor registrados en circulación,2003,12302,No especificada
19,Nuevo León,004,Allende,6207048973,Vehículos de motor registrados en circulación,2004,14249,No especificada
19,Nuevo León,004,Allende,6207048973,Vehículos de motor registrados en circulación,2005,14969,No especificada
19,Nuevo León,004,Allende,6207048973,Vehículos de motor registrados en circulación,2006,16205,No especificada
19,Nuevo León,004,Allende,6207048973,Vehículos de motor registrados en circulación,2007,17433,No especificada
19,Nuevo León,004,Allende,6207048973,Vehículos de motor registrados en circulación,2008,18649,No especificada
19,Nuevo León,004,Allende,6207048973,Vehículos de motor registrados en circulación,2009,19358,No especificada
19,Nuevo León,004,Allende,6207048973,Vehículos de motor registrados en circulación,2010,20203,No especificada
19,Nuevo León,004,Allende,6207048973,Vehículos de motor registrados en circulación,2011,21213,No especificada
19,Nuevo León,004,Allende,6207048973,Vehículos de motor registrados en circulación,2012,22173,No especificada
19,Nuevo León,004,Allende,6207048973,Vehículos de motor registrados en circulación,2013,23377,No especificada
19,Nuevo León,004,Allende,6207048973,Vehículos de motor registrados en circulación,2014,17422,No especificada
19,Nuevo León,004,Allende,6207048973,Vehículos de motor registrados en circulación,2015,17642,No especificada
19,Nuevo León,004,Allende,6207048973,Vehículos de motor registrados en circulación,2016,18492,No especificada
19,Nuevo León,004,Allende,6207048973,Vehículos de motor registrados en circulación,2017,19741,No especificada
19,Nuevo León,004,Allende,6207048973,Vehículos de motor registrados en circulación,2018,21103,No especificada
19,Nuevo León,004,Allende,6207048973,Vehículos de motor registrados en circulación,2019,22407,No especificada
19,Nuevo León,004,Allende,6207048973,Vehículos de motor registrados en circulación,2020,23203,No especificada
19,Nuevo León,004,Allende,6207048973,Vehículos de motor registrados en circulación,2021,23474,No especificada
19,Nuevo León,005,Anáhuac,6207048973,Vehículos de motor registrados en circulación,1980,1251,No especificada
19,Nuevo León,005,Anáhuac,6207048973,Vehículos de motor registrados en circulación,1981,1383,No especificada
19,Nuevo León,005,Anáhuac,6207048973,Vehículos de motor registrados en circulación,1982,1589,No especificada
19,Nuevo León,005,Anáhuac,6207048973,Vehículos de motor registrados en circulación,1983,1627,No especificada
19,Nuevo León,005,Anáhuac,6207048973,Vehículos de motor registrados en circulación,1984,2138,No especificada
19,Nuevo León,005,Anáhuac,6207048973,Vehículos de motor registrados en circulación,1985,2434,No especificada
19,Nuevo León,005,Anáhuac,6207048973,Vehículos de motor registrados en circulación,1986,2538,No especificada
19,Nuevo León,005,Anáhuac,6207048973,Vehículos de motor registrados en circulación,1987,2718,No especificada
19,Nuevo León,005,Anáhuac,6207048973,Vehículos de motor registrados en circulación,1988,2771,No especificada
19,Nuevo León,005,Anáhuac,6207048973,Vehículos de motor registrados en circulación,1989,3000,No especificada
19,Nuevo León,005,Anáhuac,6207048973,Vehículos de motor registrados en circulación,1990,3113,No especificada
19,Nuevo León,005,Anáhuac,6207048973,Vehículos de motor registrados en circulación,1991,3420,No especificada
19,Nuevo León,005,Anáhuac,6207048973,Vehículos de motor registrados en circulación,1992,3656,No especificada
19,Nuevo León,005,Anáhuac,6207048973,Vehículos de motor registrados en circulación,1993,2816,No especificada
19,Nuevo León,005,Anáhuac,6207048973,Vehículos de motor registrados en circulación,1994,2898,No especificada
19,Nuevo León,005,Anáhuac,6207048973,Vehículos de motor registrados en circulación,1995,2862,No especificada
19,Nuevo León,005,Anáhuac,6207048973,Vehículos de motor registrados en circulación,1996,2865,No especificada
19,Nuevo León,005,Anáhuac,6207048973,Vehículos de motor registrados en circulación,1997,2916,No especificada
19,Nuevo León,005,Anáhuac,6207048973,Vehículos de motor registrados en circulación,1998,2923,No especificada
19,Nuevo León,005,Anáhuac,6207048973,Vehículos de motor registrados en circulación,1999,2898,No especificada
19,Nuevo León,005,Anáhuac,6207048973,Vehículos de motor registrados en circulación,2000,3629,No especificada
19,Nuevo León,005,Anáhuac,6207048973,Vehículos de motor registrados en circulación,2001,4765,No especificada
19,Nuevo León,005,Anáhuac,6207048973,Vehículos de motor registrados en circulación,2002,4969,No especificada
19,Nuevo León,005,Anáhuac,6207048973,Vehículos de motor registrados en circulación,2003,5152,No especificada
19,Nuevo León,005,Anáhuac,6207048973,Vehículos de motor registrados en circulación,2004,5339,No especificada
19,Nuevo León,005,Anáhuac,6207048973,Vehículos de motor registrados en circulación,2005,5635,No especificada
19,Nuevo León,005,Anáhuac,6207048973,Vehículos de motor registrados en circulación,2006,6218,No especificada
19,Nuevo León,005,Anáhuac,6207048973,Vehículos de motor registrados en circulación,2007,6568,No especificada
19,Nuevo León,005,Anáhuac,6207048973,Vehículos de motor registrados en circulación,2008,6929,No especificada
19,Nuevo León,005,Anáhuac,6207048973,Vehículos de motor registrados en circulación,2009,7070,No especificada
19,Nuevo León,005,Anáhuac,6207048973,Vehículos de motor registrados en circulación,2010,7214,No especificada
19,Nuevo León,005,Anáhuac,6207048973,Vehículos de motor registrados en circulación,2011,7450,No especificada
